FechaInventario;GLN_Cliente;GLN_Sucrusal;Gtin_Producto;Inventario_Final;PrecioUnidad
28/03/2022;7,711E+12;7,70102E+12;7,70895E+12;0;7731.09
28/03/2022;7,711E+12;7,70102E+12;7,70895E+12;11;7731.09
28/03/2022;7,711E+12;7,70102E+12;7,7092E+12;9;7731.09
28/03/2022;7,711E+12;7,70102E+12;7,70895E+12;35;7731.09
28/03/2022;7,711E+12;7,70102E+12;7,70895E+12;5;7731.09
28/03/2022;7,711E+12;7,70102E+12;7,7092E+12;5;7731.09
28/03/2022;7,711E+12;7,70102E+12;7,70895E+12;13;7731.09
28/03/2022;7,711E+12;7,70102E+12;7,70895E+12;2;7731.09
28/03/2022;7,711E+12;7,70102E+12;7,7092E+12;6;7731.09
28/03/2022;7,711E+12;7,70102E+12;7,70895E+12;15;7731.09
28/03/2022;7,711E+12;7,70102E+12;7,70895E+12;2;7731.09
28/03/2022;7,711E+12;7,70102E+12;7,7092E+12;5;7731.09
28/03/2022;7,711E+12;7,70102E+12;7,70895E+12;26;10840.34
28/03/2022;7,711E+12;7,70102E+12;7,75449E+12;8;1386.56
28/03/2022;7,711E+12;7,70102E+12;7,75449E+12;2;1386.56
28/03/2022;7,711E+12;7,70102E+12;7,75449E+12;7;1386.56
28/03/2022;7,711E+12;7,70102E+12;7,75449E+12;11;1386.56
